method,noise_percent,order,candidate_index,Y1_in,Y2_in,Y3_in,Temperature
Random,0.0,1,1,0.11458333333333334,0.11458333333333334,0.7708333333333333,312.5
Random,0.0,2,2,0.2895833333333333,0.23124999999999998,0.47916666666666674,372.5
Random,0.0,3,3,0.20208333333333334,0.34791666666666665,0.44999999999999996,432.5
Random,0.0,4,4,0.3770833333333333,0.15347222222222223,0.46944444444444444,492.5
Random,0.0,5,5,0.15833333333333333,0.2701388888888889,0.5715277777777779,552.5
Random,0.0,6,6,0.3333333333333333,0.3868055555555555,0.2798611111111111,324.5
FIM,0.0,1,8,0.4208333333333333,0.30902777777777773,0.27013888888888893,444.5
FIM,0.0,2,6,0.3333333333333333,0.3868055555555555,0.2798611111111111,324.5
FIM,0.0,3,12,0.3989583333333333,0.3608796296296296,0.2401620370370371,396.5
FIM,0.0,4,4,0.3770833333333333,0.15347222222222223,0.46944444444444444,492.5
FIM,0.0,5,10,0.3114583333333333,0.1275462962962963,0.5609953703703704,564.5
FIM,0.0,6,2,0.2895833333333333,0.23124999999999998,0.47916666666666674,372.5
GIM,0.0,1,12,0.3989583333333333,0.3608796296296296,0.2401620370370371,396.5
GIM,0.0,2,6,0.3333333333333333,0.3868055555555555,0.2798611111111111,324.5
GIM,0.0,3,8,0.4208333333333333,0.30902777777777773,0.27013888888888893,444.5
GIM,0.0,4,4,0.3770833333333333,0.15347222222222223,0.46944444444444444,492.5
GIM,0.0,5,10,0.3114583333333333,0.1275462962962963,0.5609953703703704,564.5
GIM,0.0,6,2,0.2895833333333333,0.23124999999999998,0.47916666666666674,372.5
Random,5.0,1,1,0.11458333333333334,0.11458333333333334,0.7708333333333333,312.5
Random,5.0,2,2,0.2895833333333333,0.23124999999999998,0.47916666666666674,372.5
Random,5.0,3,3,0.20208333333333334,0.34791666666666665,0.44999999999999996,432.5
Random,5.0,4,4,0.3770833333333333,0.15347222222222223,0.46944444444444444,492.5
Random,5.0,5,5,0.15833333333333333,0.2701388888888889,0.5715277777777779,552.5
Random,5.0,6,6,0.3333333333333333,0.3868055555555555,0.2798611111111111,324.5
FIM,5.0,1,8,0.4208333333333333,0.30902777777777773,0.27013888888888893,444.5
FIM,5.0,2,12,0.3989583333333333,0.3608796296296296,0.2401620370370371,396.5
FIM,5.0,3,6,0.3333333333333333,0.3868055555555555,0.2798611111111111,324.5
FIM,5.0,4,4,0.3770833333333333,0.15347222222222223,0.46944444444444444,492.5
FIM,5.0,5,2,0.2895833333333333,0.23124999999999998,0.47916666666666674,372.5
FIM,5.0,6,3,0.20208333333333334,0.34791666666666665,0.44999999999999996,432.5
GIM,5.0,1,8,0.4208333333333333,0.30902777777777773,0.27013888888888893,444.5
GIM,5.0,2,12,0.3989583333333333,0.3608796296296296,0.2401620370370371,396.5
GIM,5.0,3,6,0.3333333333333333,0.3868055555555555,0.2798611111111111,324.5
GIM,5.0,4,4,0.3770833333333333,0.15347222222222223,0.46944444444444444,492.5
