method,noise_percent,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim
Random,0.0,1,3166.6666666666665,3166.6666666666665,0.20833333333333337,-23.24959412866712,1.012507497840463e6
Random,0.0,2,3333.3333333333335,3333.3333333333335,0.16666666666666663,-17.45208347504223,650478.2254599498
Random,0.0,3,3500.0,3500.0,0.125,-13.75174085738469,26383.22529757659
Random,0.0,4,3666.6666666666665,3666.6666666666665,0.08333333333333337,-11.314721178645222,4740.98725428535
Random,0.0,5,3833.3333333333335,3833.3333333333335,0.04166666666666663,-11.101588849634293,4041.692942389622
Random,0.0,6,4000.0,4000.0,0.0,-8.93031963901723,978.7486535682888
FIM,0.0,1,3166.6666666666665,3166.6666666666665,0.20833333333333337,-15.599381219666341,1.0000059528539603e6
FIM,0.0,2,3333.3333333333335,3333.3333333333335,0.16666666666666663,-8.23286860769503,889.8919216480022
FIM,0.0,3,3500.0,3500.0,0.125,-7.695535563287371,876.3658068138955
FIM,0.0,4,3666.6666666666665,3666.6666666666665,0.08333333333333337,-7.4071387726548386,705.7122370509912
FIM,0.0,5,3833.3333333333335,3833.3333333333335,0.04166666666666663,-7.207599559384591,592.6498896773392
FIM,0.0,6,4000.0,4000.0,0.0,-7.146655092759102,579.266115166392
GIM,0.0,1,3166.6666666666665,3166.6666666666665,0.20833333333333337,-15.634991977963194,1.0000061686621602e6
GIM,0.0,2,3333.3333333333335,3333.3333333333335,0.16666666666666663,-9.18994128205147,2259.7520305053795
GIM,0.0,3,3500.0,3500.0,0.125,-7.695535563287371,876.3658068138955
GIM,0.0,4,3666.6666666666665,3666.6666666666665,0.08333333333333337,-7.4071387726548386,705.7122370509912
GIM,0.0,5,3833.3333333333335,3833.3333333333335,0.04166666666666663,-7.207599559384591,592.6498896773392
GIM,0.0,6,4000.0,4000.0,0.0,-7.146655092759102,579.266115166392
Random,5.0,1,3208.7199467309465,3124.633097924229,0.2085958514651604,-27.63102108434773,1.999999968419184e6
Random,5.0,2,3319.950074330195,3328.8688140425206,0.1689013182830621,-27.631014262671485,1.9999931467664195e6
Random,5.0,3,3460.5080311028833,3491.3702823055664,0.13107199527196958,-27.631009868600007,1.9999887527345428e6
Random,5.0,4,3652.8162737042826,3625.9567014822373,0.09021587460271123,-27.63099799593035,1.9999768802671265e6
Random,5.0,5,3798.7761182937056,3816.034155542206,0.04819701835176697,-27.63099672406217,1.999975608428698e6
Random,5.0,6,3969.8837290625406,3978.290727564663,0.006562874477054009,-27.630969316514133,1.9999482019060003e6
FIM,5.0,1,3176.5593567686706,3181.545223490712,0.2052378737371052,-27.630953923918906,1.9999328102476893e6
FIM,5.0,2,3341.2246286320033,3291.8407503130416,0.17097829840712223,-27.630889086845343,1.9998679796183195e6
FIM,5.0,3,3498.819558883738,3495.4821794255154,0.12571297489652752,-27.63086168220715,1.9998405789147806e6
FIM,5.0,4,3636.7617124475187,3654.922178477119,0.08856860978413791,-27.630849811274174,1.9998287099204143e6
FIM,5.0,5,3807.453075432072,3834.6403040226814,0.04486721632156605,-27.630842990759987,1.9998218905915583e6
FIM,5.0,6,3957.577943696447,3951.1737790536686,0.011434091996254257,-27.630838597437922,1.9998174980583652e6
GIM,5.0,1,3171.6214472107536,3160.41698947603,0.20849989945154193,-27.630953923918906,1.9999328102476893e6
GIM,5.0,2,3314.536425256847,3357.3642395425286,0.16609871245346985,-27.630889086845343,1.9998679796183195e6
GIM,5.0,3,3482.1294342844076,3468.8273509243695,0.1311409434969456,-27.63086168220715,1.9998405789147806e6
GIM,5.0,4,3641.893601494582,3651.4259996830297,0.08834308588315931,-27.630849811274174,1.9998287099204143e6
GIM,5.0,5,3795.1176617275123,3803.532249568171,0.05017978598740777,-27.630842990759987,1.9998218905915583e6
GIM,5.0,6,3962.0317699603893,3978.889745983955,0.0076795778630785235,-27.630838597437922,1.9998174980583652e6
Random,10.0,1,3172.6650940271666,3158.041682275887,0.20866965934715861,-27.631021108033345,1.9999999921047958e6
Random,10.0,2,3276.379802351213,3311.2996770144855,0.176594019339347,-27.63101940260988,1.999998286682799e6
Random,10.0,3,3474.0422434073116,3448.182542397999,0.13476067539279935,-27.631018304084584,1.999997188159979e6
Random,10.0,4,3605.252516586153,3607.1363279111765,0.09845167604411947,-27.631015335879248,1.9999942199672852e6
Random,10.0,5,3769.4100407197193,3741.9700495835546,0.06117372409601068,-27.631015017906627,1.9999939019965213e6
Random,10.0,6,3966.8552790901717,3936.3341323201385,0.01268847315432895,-27.63100816582736,1.9999870499813412e6
FIM,10.0,1,3191.6274439037165,3086.6519638464874,0.21561473342190093,-27.63100431750287,1.999983201715418e6
FIM,10.0,2,3326.252042101385,3341.5520128838943,0.1665354750599145,-27.630988107026106,1.9999669916414728e6
FIM,10.0,3,3414.390474001094,3418.1902533391567,0.14592818206336744,-27.630981255128727,1.9999601399900652e6
FIM,10.0,4,3635.7165673563863,3642.8926713107157,0.09017830661774529,-27.63097828703195,1.9999571720144814e6
FIM,10.0,5,3783.256145913501,3796.1049347561357,0.0526043890502106,-27.630976581681125,1.9999554667377584e6
FIM,10.0,6,3979.195715857821,3955.123865672376,0.008744079552151781,-27.630975483202675,1.9999543683086256e6
GIM,10.0,1,3150.812759467382,3081.0325565729795,0.2211913857077591,-27.63100431750287,1.999983201715418e6
GIM,10.0,2,3296.9649375460544,3280.2893843076563,0.17785542490495224,-27.630988107026106,1.9999669916414728e6
GIM,10.0,3,3455.322286111918,3461.3763827645353,0.13541478097983847,-27.630981255128727,1.9999601399900652e6
GIM,10.0,4,3633.177569131612,3634.515891018518,0.09153847034617832,-27.63097828703195,1.9999571720144814e6
GIM,10.0,5,3813.531673830016,3804.0656299788147,0.04781498000765366,-27.630976581681125,1.9999554667377584e6
GIM,10.0,6,3949.4053097655833,3959.868404068265,0.011415953300021394,-27.630975483202675,1.9999543683086256e6
Random,20.0,1,3170.1117133678013,3057.874352204765,0.2219456088016638,-27.631021113954745,1.9999999980261992e6
Random,20.0,2,3468.1446593156957,3323.5574461708434,0.15211474205814676,-27.631020687598607,1.9999995716701495e6
Random,20.0,3,3412.15528188852,3359.604805296042,0.15367044872993285,-27.63102041296682,1.9999992970385163e6
Random,20.0,4,3564.5536742287163,3563.0702391129034,0.10904716848922624,-27.631019670913112,1.9999985549856026e6
Random,20.0,5,3653.0430794901063,3700.442215445198,0.08103123837776427,-27.63101959141961,1.9999984754922143e6
Random,20.0,6,3914.028901399065,3844.8780420773546,0.03135176013021769,-27.631017878387777,1.9999967624643864e6
FIM,20.0,1,3360.871779022377,3140.152945174093,0.1893922715344075,-27.631016916295675,1.999995800375945e6
FIM,20.0,2,3261.799394574023,3279.4450460006433,0.1823577849640897,-27.63101286360095,1.9999917477063988e6
FIM,20.0,3,3440.521540029678,3404.801170478037,0.14440370859969695,-27.631011150580484,1.9999900347013078e6
FIM,20.0,4,3647.0765944755144,3519.693436472646,0.10536385248486202,-27.63101040853357,1.9999892926619644e6
FIM,20.0,5,3687.9421080670118,3724.450610315431,0.07359254252155902,-27.631009982181965,1.9999888663149946e6
FIM,20.0,6,3814.192521978768,3841.9165306587524,0.0431258341106203,-27.631009707553105,1.9999885916892174e6
GIM,20.0,1,3182.122643481601,3138.499008829176,0.2099931046556824,-27.631016916295675,1.999995800375945e6
GIM,20.0,2,3262.079451660811,3131.0648830905748,0.20152349219908003,-27.63101286360095,1.9999917477063988e6
GIM,20.0,3,3400.252030047355,3362.69797287913,0.1547024867724628,-27.631011150580484,1.9999900347013078e6
GIM,20.0,4,3616.6662327098243,3543.6378233485507,0.10535820053259488,-27.63101040853357,1.9999892926619644e6
GIM,20.0,5,3687.4363614786726,3718.9062883604593,0.07431135992586033,-27.631009982181965,1.9999888663149946e6
GIM,20.0,6,3899.723113068067,3816.955499387672,0.036895436395125596,-27.631009707553105,1.9999885916892174e6
