method,noise_percent,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim
Random,0.0,1,4.325990258167948e30,3.17172554196071e32,5.607393092131064e28,-27.621761216405844,1.990782841319837e6
Random,0.0,2,8.651980516335896e30,6.34345108392142e32,1.1214786184262128e29,-26.58514563975016,1.3513434012677418e6
Random,0.0,3,1.2977970774503846e31,9.51517662588213e32,1.682217927639319e29,-26.232713878945695,1.2440456234188639e6
Random,0.0,4,1.7303961032671793e31,1.268690216784284e33,2.2429572368524256e29,-25.63358270739765,1.1167511164788438e6
Random,0.0,5,2.1629951290839744e31,1.585862770980355e33,2.803696546065532e29,-25.582669085850924,1.1065605128339287e6
Random,0.0,6,2.595594154900769e31,1.903035325176426e33,3.364435855278638e29,-24.83501136031209,969038.9825224
FIM,0.0,1,2.7614163177282525e37,1.5208598228106346e37,5.572935346513836e33,-24.70229431634403,1.0534650665740704e6
FIM,0.0,2,5.522832635456505e37,3.041719645621269e37,1.1145870693027673e34,-24.265720340423748,932698.4685129668
FIM,0.0,3,8.284248953184758e37,4.562579468431904e37,1.6718806039541512e34,-24.127663579416293,908562.6254058534
FIM,0.0,4,1.104566527091301e38,6.083439291242538e37,2.2291741386055345e34,-24.06223802336727,902792.5914696504
FIM,0.0,5,1.3807081588641264e38,7.604299114053173e37,2.7864676732569187e34,-24.00233392449018,881600.4964152994
FIM,0.0,6,1.6568497906369515e38,9.125158936863807e37,3.3437612079083025e34,-23.965559910646142,880238.3132468814
GIM,0.0,1,2.7614163177282525e37,1.5208598228106346e37,5.572935346513836e33,-24.70229431634403,1.0534650665740704e6
GIM,0.0,2,5.522832635456505e37,3.041719645621269e37,1.1145870693027673e34,-24.265720340423748,932698.4685129668
GIM,0.0,3,8.284248953184758e37,4.562579468431904e37,1.6718806039541512e34,-24.127663579416293,908562.6254058534
GIM,0.0,4,1.104566527091301e38,6.083439291242538e37,2.2291741386055345e34,-24.06223802336727,902792.5914696504
GIM,0.0,5,1.3807081588641264e38,7.604299114053173e37,2.7864676732569187e34,-24.00233392449018,881600.4964152994
GIM,0.0,6,1.6568497906369515e38,9.125158936863807e37,3.3437612079083025e34,-23.965559910646142,880238.3132468814
Random,5.0,1,2607.028227464935,3191.2753872972676,0.2847370419719891,-27.631021078716927,1.9999999627883811e6
Random,5.0,2,2183.50670049887,3422.3465971951528,0.33695935218994333,-27.631013732862833,1.9999926169615397e6
Random,5.0,3,1803.4633649657367,3642.19476850902,0.39341445118069973,-27.631008970717097,1.9999878548621107e6
Random,5.0,4,1414.7962761146564,3866.8610035489487,0.4576094229241325,-27.630996193732397,1.999975078112172e6
Random,5.0,5,1012.6316370996539,4068.1153111801277,0.5282343653411293,-27.63099479027661,1.9999736746918024e6
Random,5.0,6,611.573031997256,4286.9560685926845,0.6011390516862144,-27.63096562926819,1.9999445148548838e6
FIM,5.0,1,5.281818797678961e28,1.1940392567596117e31,2.1108037896534055e27,-27.630950303229255,1.999929189807869e6
FIM,5.0,2,1.0563637595357922e29,2.3880785135192234e31,4.221607579306811e27,-27.630921143492245,1.9999000325136138e6
FIM,5.0,3,1.5845456393036883e29,3.582117770278835e31,6.332411368960218e27,-27.630908367614254,1.9998872579769525e6
FIM,5.0,4,2.1127275190715843e29,4.776157027038447e31,8.443215158613622e27,-27.63090102258151,1.999879913792714e6
FIM,5.0,5,2.6409093988394805e29,5.9701962837980585e31,1.0554018948267028e28,-27.63089626096954,1.999875152760749e6
