method,noise_percent,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,3000.0,3000.0,0.25,-6.338674211838343,999999.9492112849,false
Random,0.0,2,3000.0,3000.0,0.25,11.13387452249507,0.10939248620275906,false
Random,0.0,3,2329.2405709809977,2747.9517132884534,0.36908086774416815,12.32871256027928,0.04269853651519818,true
Random,0.0,4,2834.5189963614293,3342.480136936069,0.2365559091001256,13.93201883209168,0.012573198449722319,true
Random,0.0,5,2958.9672787348145,3479.095402871574,0.20578285931825727,14.282955859217388,0.009606760086472606,true
FIM,0.0,1,3000.0,3000.0,0.25,-4.906664753027664,999999.7616845777,false
FIM,0.0,2,3000.0,3000.0,0.25,14.279619562245038,0.006547838407653802,false
FIM,0.0,3,3624.9476300457322,4277.274980098745,0.0824518220684571,14.911660183991527,0.004974853372627397,true
FIM,0.0,4,3512.965760902121,4228.436290654267,0.09509624876630435,15.307904209058929,0.004816138565386506,true
FIM,0.0,5,3426.4183409253515,4106.168189783215,0.10311819737391635,15.624396627465005,0.004446895532689257,true
GIM,0.0,1,3000.0,3000.0,0.25,-4.906664753027664,999999.7616845777,false
GIM,0.0,2,3000.0,3000.0,0.25,14.279619562245038,0.006547838407653802,false
GIM,0.0,3,3624.947128898762,4277.274513524009,0.0824518442735019,14.911660183991527,0.004974853372627397,true
GIM,0.0,4,3512.965625575877,4228.43611700795,0.09509625738961267,15.307904209058929,0.004816138565386506,true
GIM,0.0,5,3426.4183644173263,4106.168191027057,0.10311819333046497,15.624396627465005,0.004446895532689257,true
Random,5.0,1,3000.0,3000.0,0.25,-27.630900839114837,1.9998797304192574e6,false
Random,5.0,2,3000.0,3000.0,0.25,-27.62990619779009,1.998885702342031e6,false
Random,5.0,3,9999.999999999942,2349.5802604434843,1.1000551877735085,-27.62947696103494,1.9984570323803038e6,true
Random,5.0,4,9981.877108708542,9999.999999999998,1.4977363517957196,-27.628671191520006,1.997652809066104e6,true
Random,5.0,5,9999.999999999998,9999.994146556504,1.4999992683197412,-27.628522859513573,1.9975048280259531e6,true
FIM,5.0,1,3000.0,3000.0,0.25,-27.62903429283947,1.998015149337411e6,false
FIM,5.0,2,3000.0,3000.0,0.25,-27.627509860521755,1.996494832654306e6,false
FIM,5.0,3,9999.99999999982,2.703549087162333,1.2744898356361827,-27.62651856576072,1.9955074823256051e6,true
FIM,5.0,4,9950.135603086439,9999.999999999998,1.4937799546694952,-27.625715113689623,1.9947078780887695e6,true
FIM,5.0,5,9950.135603074097,9999.999999999998,1.493779954667959,-27.625153648096514,1.9941495221736045e6,true
GIM,5.0,1,3000.0,3000.0,0.25,-27.62903429283947,1.998015149337411e6,false
GIM,5.0,2,3000.0,3000.0,0.25,-27.627509860521755,1.996494832654306e6,false
GIM,5.0,3,682.7479279716897,2.3477266048476203e-9,0.9186294361261327,-27.62651856576072,1.9955074823256051e6,true
GIM,5.0,4,9999.999999999998,4946.966469785096,1.0737892235981596,-27.625715113689623,1.9947078780887695e6,true
GIM,5.0,5,9999.760910720512,9999.999999999998,1.499970114137797,-27.625153648096514,1.9941495221736045e6,true
