method,noise_abs,experiment,k1,k2,relative_error,logdet_fim,trace_inv_fim,converged
Random,0.0,1,3000.0,3000.0,0.25,2.759288951219448,999192.1981428777,false
Random,0.0,2,3000.0,3000.0,0.25,29.648637757219355,1.1134638785836439e-5,false
Random,0.0,3,1838.0242570234188,2301.859441523644,0.48598548298668126,30.938411826021216,4.010558250549814e-6,true
Random,0.0,4,2374.642487308768,3068.9424511873553,0.3311275813066071,32.57026942963256,1.1474951831643337e-6,true
Random,0.0,5,2559.055098141999,3304.2304152854667,0.2828657767610593,32.930169221717556,8.690536073988615e-7,true
Random,0.0,6,3087.1177158383166,4021.9640451103146,0.16142301609570162,33.95949572850871,4.7629346013772765e-7,true
Random,0.0,7,3097.510154808506,3999.2080447191092,0.15953923379796484,34.13612276738795,4.756818947280442e-7,true
FIM,0.0,1,3000.0,3000.0,0.25,4.43723259681051,997712.2854550915,false
FIM,0.0,2,3000.0,3000.0,0.25,32.75566285312003,8.056044662223678e-7,false
FIM,0.0,3,2643.8359646985764,3760.6790013104883,0.24344246182740403,34.101219495439906,3.536892743335359e-7,true
FIM,0.0,4,2545.9092668580183,3581.493226646627,0.267484098800286,34.65658744468115,3.130310446792664e-7,true
FIM,0.0,5,2250.7599613329594,3237.5141145558396,0.33732520651338055,35.152136666392394,2.1893434206924938e-7,true
FIM,0.0,6,2326.9380124656054,3327.6212883840863,0.3187489973497375,35.426779734969806,1.8759084658402652e-7,true
FIM,0.0,7,2498.244276863729,3532.9768487871816,0.2780164606042518,35.632766412015016,1.6379812006439714e-7,true
GIM,0.0,1,3000.0,3000.0,0.25,4.43723259681051,997712.2854550915,false
GIM,0.0,2,3000.0,3000.0,0.25,32.75566285312003,8.056044662223678e-7,false
GIM,0.0,3,2643.8359646985764,3760.6790013104883,0.24344246182740403,34.101219495439906,3.536892743335359e-7,true
GIM,0.0,4,2545.9092668580183,3581.493226646627,0.267484098800286,34.65658744468115,3.130310446792664e-7,true
GIM,0.0,5,2250.7599613329594,3237.5141145558396,0.33732520651338055,35.152136666392394,2.1893434206924938e-7,true
GIM,0.0,6,2326.9380124656054,3327.6212883840863,0.3187489973497375,35.426779734969806,1.8759084658402652e-7,true
GIM,0.0,7,2259.273665848965,3200.7497386329037,0.33860601878798025,35.621511254991574,1.7275628985861412e-7,true
Random,1.0e-5,1,3000.0,3000.0,0.25,-20.26673642791461,1.0006334783790865e6,false
Random,1.0e-5,2,3000.0,3000.0,0.25,-16.297479895481388,100213.26466875852,false
