method,noise_abs,order,candidate_index,Y1_in,Y2_in,Y3_in,Temperature
Random,0.0,1,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
Random,0.0,2,9,0.139375,0.42861111111111105,0.4320138888888889,507.00000000000006
Random,0.0,3,1,0.11750000000000001,0.11750000000000001,0.765,315.0
Random,0.0,4,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
Random,0.0,5,10,0.314375,0.13046296296296298,0.555162037037037,567.0
Random,0.0,6,4,0.38,0.15638888888888888,0.4636111111111111,495.0
Random,0.0,7,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
FIM,0.0,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
FIM,0.0,2,10,0.314375,0.13046296296296298,0.555162037037037,567.0
FIM,0.0,3,4,0.38,0.15638888888888888,0.4636111111111111,495.0
FIM,0.0,4,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
FIM,0.0,5,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
FIM,0.0,6,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
FIM,0.0,7,1,0.11750000000000001,0.11750000000000001,0.765,315.0
GIM,0.0,1,6,0.33625,0.3897222222222222,0.27402777777777776,327.0
GIM,0.0,2,10,0.314375,0.13046296296296298,0.555162037037037,567.0
GIM,0.0,3,4,0.38,0.15638888888888888,0.4636111111111111,495.0
GIM,0.0,4,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
GIM,0.0,5,2,0.2925,0.23416666666666666,0.4733333333333334,375.0
GIM,0.0,6,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
GIM,0.0,7,1,0.11750000000000001,0.11750000000000001,0.765,315.0
Random,0.05,1,5,0.16125,0.27305555555555555,0.5656944444444445,555.0
Random,0.05,2,9,0.139375,0.42861111111111105,0.4320138888888889,507.00000000000006
Random,0.05,3,1,0.11750000000000001,0.11750000000000001,0.765,315.0
Random,0.05,4,3,0.20500000000000002,0.35083333333333333,0.4441666666666666,435.0
Random,0.05,5,8,0.42374999999999996,0.3119444444444444,0.26430555555555557,447.0
Random,0.05,6,7,0.24875,0.19527777777777777,0.5559722222222222,387.0
Random,0.05,7,10,0.314375,0.13046296296296298,0.555162037037037,567.0
